,q,D,nD
0,4,1.0,0.006920415224913495
1,6,0.811965811965812,0.006920415224913495
2,8,0.4131054131054131,0.02768166089965398
3,10,0.6752136752136753,0.010380622837370242
4,12,0.6068376068376068,0.04498269896193772
5,14,0.38746438746438744,0.04498269896193772
6,16,0.21367521367521367,0.12110726643598616
7,18,0.5156695156695157,0.23875432525951557
8,20,0.37037037037037035,0.2837370242214533
9,22,0.13105413105413105,0.6089965397923875
10,24,0.15954415954415954,0.5778546712802768
11,26,0.05698005698005698,0.7439446366782007
12,28,0.03418803418803419,0.8685121107266436
13,30,0.1396011396011396,0.6955017301038062
14,32,0.03418803418803419,0.8650519031141869
15,34,0.037037037037037035,0.8719723183391004
16,36,0.019943019943019943,0.986159169550173
17,38,0.045584045584045586,1.0
